Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Sosa naufragus;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_1.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Pomum Theodosii;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_2.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Theodosius Magnus;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_3.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;C. Marius;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_4.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Clodoaldus Daniae Princeps;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_5.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Joseph a fratribus recognitus;Camena;http://mateo.uni-mannheim.de/camena/avan2/books/avancinidramatica1_6.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Zelus, sive Franciscus Xaverius Indiarum apostolus;Camena;http://mateo.uni-mannheim.de/camena/avan3/books/avancinidramatica2_1.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Pietas victrix, sive Fl. Constantinus Magnus ... victor;Camena;http://mateo.uni-mannheim.de/camena/avan3/books/avancinidramatica2_2.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Fides coniugalis, sive Ansberta, sui coniugis Bertulphi ... liberatrix;Camena;http://mateo.uni-mannheim.de/camena/avan3/books/avancinidramatica2_3.xml;TEI-XML
Nicolaus von Avancini;https://www.wikidata.org/wiki/Q3340050;Fiducia in Deum, sive Bethulia liberata;Camena;http://mateo.uni-mannheim.de/camena/avan3/books/avancinidramatica2_4.xml;TEI-XML
